sentence,label
REC 2 kind of explains it.,MOV
Because the Palestinian movement is often Anti-Semitic.,NOT
That is so incredibly disappointing to hear.,NOT
Was really looking forward to acquiring my freshman 15.,NOT
"it's cool if you didn't like it, but as an action/thriller i don't see how you can fault it.",MOV
"As a CHC member of three years, the only real benefits are the dorms and small classes .",NOT
Do not underestimate the value of a good dorm though.,NOT
#Im in a zoom call!,NOT
"Considering what ends up in that pond, give the pooch a good bath soon after.l",NOT
Nor do I understand why I’m being downvoted for my opinion on a movie lmao.,MOV
Didnt damon write the screenplay for good will hunting?,MOV
Dune doesn't really resemble most of Lynch's movies.,MOV
"Besides, Lynch makes 'surreal' movies by developing a 'surreal' plot.",MOV
That marriage is why the whole thing works.,NOT
"No such thing happens in Dune, because it's an adaptation of a relatively straightforward novel.",MOV
OHill is about as far away from every place.,NOT
CS classes are held around campus but usually in the middle so as far as any other classes,NOT
"Also helps that *Air Force One* is directed by Wolfgang Petersen, who's pretty damn talented in his own right.",MOV
It's an entertaining and well made film from top to bottom.,MOV
THAT'LL BE FOUR BUCKS BABY!,NOT
YOU WANT FRIES WITH THAT?,NOT
Wet Hot American Summer and Swingers.,MOV
Better movie than both of those together.,MOV
Love these kinds of movies.,MOV
This study spot was a favorite for U.,NOT
The building [looked] a lot different [back then] than it does now!,NOT
"probably depends on your use case, but you might use SentenceBERT embeddings   [link]",NOT
"Vince Vaughn is one of those actors that, whenever he actually goes serious, just comes off as really off.",NOT
Makes it work really well for that sort of thing.,NOT
Looks like a parody of surrealist films,MOV
It’s in that place I put that thing that time,NOT
"it depends, as long as the story is told consistently  and/or efficiently .",NOT
"As someone who's worked in call centers for years, that movie hits close to home.",MOV
Are you the guy that made that other movie?,MOV
whats the big deal?,NOT
"Just to be clear, this approach classifies only using the name of the target labels, right?",NOT
"Could the label names be multi-word, or even sentence or paragraph lengths?",NOT
"The ending made me tear up, when he asked if his son is smart.",MOV
Well said and very brave of you.,NOT
"i dont really get ""scared"" by movies.",MOV
actually scary movies dont exist.,MOV
its all just sudden loudness.,NOT
Do you know of any tutorials for training a FFN classifier on top of BERT/GPT?,NOT
I'm assuming HuggingFace provides the base transformer model but I'm unfamiliar with where to go from there,NOT
"Ah, that was definitely an initial concern.",NOT
"It looks as though LSA, or potentially using vectorization may be essential to return meaningful results",NOT
This is a good one to go into without knowing anything about it.,MOV
Literally just the usual escaped mental patient story told with excellent pacing and dialogue.,MOV
"“I just sexualized children for art, judge.” Pedo director.",NOT
>the film industry isn't a well oiled machine for the people behind the scenes.,NOT
That's why they started Mud-wrestling Mondays.,NOT
"It's been said the 1977 version from the BBC, starring Louis Jordan, was the most faithful of adaptations.",MOV
> physic sidekick  Who doesn't wear a helmet because ~~she's hot~~ it interferes with her abilities.,NOT
The only time you would need to parallel park is when they plow the lots during the winter.,NOT
Took this class with her - shes just an average prof.,NOT
The online homeworks took some time to complete but the exams weren’t particularly hard .,NOT
Id say shoot straight as the other poster said,NOT
"Rocky Balboa was actually very sad, especially the gravestone scenes.",MOV
Thank you that is very helpful.,NOT
How many students actually land opportunities to work with this companies?,NOT
And through your explanation it sounds like CICS turns corporate heads – which is great to hear!,NOT
Thank you for clearing up the misconception.,NOT
I am aware Northeastern’s Co-op program is integrated into their curriculum.,NOT
So how do students at UMass intern?,NOT
When do most students tend to intern at the CICS?,NOT
And during what year ?,NOT
"Of course, it is a wrong assumption, I'm not trying to promote that idea.",NOT
"Say, women's top 20 is   1.",NOT
The Shawshank Redemption 2.,MOV
The Mountain II 4.,MOV
12 Angry Men 6.,MOV
The Lord of the Rings: The Return of the King 7.,MOV
The Lord of the Rings: The Fellowship of the Ring 8.,MOV
Life Is Beautiful 9.,MOV
The Lion King 10.,MOV
The Dark Knight 11.,MOV
The Godfather: Part II 12.,MOV
The Lord of the Rings: The Two Towers 15.,MOV
The Green Mile 16.,MOV
One Flew Over the Cuckoo's Nest  And men's top 20 is:  1.,MOV
The Shawshank Redemption 2.,MOV
The Dark Knight 4.,MOV
12 Angry Men 5.,MOV
The Godfather: Part II 6.,MOV
The Lord of the Rings: The Return of the King 8.,MOV
"The Good, the Bad and the Ugly 10.",MOV
The Mountain II 11.,MOV
The Lord of the Rings: The Fellowship of the Ring 12.,MOV
Star Wars: Episode V - The Empire Strikes Back 16.,MOV
The Lord of the Rings: The Two Towers 18.,MOV
One Flew Over the Cuckoo's Nest 19.,MOV
That sounds pretty plausible,NOT
You can try r/tipofmytongue if you’re still trying to figure this out,NOT
I think there's a lack of good dataset support for text data .,NOT
It's hypocritical and is why calling the hotline on your neighbor's for a party is extremely lame.,NOT
Its good not great.,NOT
Plenty of better in the genre.,NOT
"Before the semester started, like June",NOT
It's only in cinemas right now.,MOV
Is that Russell Brand I see?!,NOT
"It wasn’t on Hitler’s Birthday, it was the day after, this year marking Holocaust Remembrance Day",NOT
I used to live in a country where I was the majority.,NOT
"I thought asking for more ""representation"" etc was strange.",NOT
"I wasn't against it, but I just didn't really see the point.",NOT
Years ago I moved to a country where I was a racial minority.,NOT
Maybe I notice it more since things have changed for me.,NOT
I don't know what it is like if you grow up as such a minority.,NOT
"Nobody is going to be dropping any classes now, there's no reason for them to .",NOT
Wait until classes start then watch it like a hawk.,NOT
Chances are you'll get in.,NOT
UMass does not have an official film major program.,NOT
"Of the classes I have taken though, just as electives, professors are pretty good.",NOT
"Agree with the other guy, go to somewhere like Emerson or BU if you want to do film.",NOT
Can't really even tell that he basically broke his face and needed facial reconstruction.,NOT
I think it’ll be mixed.,NOT
“What was I learning other then that racist white folks are racist and white.,NOT
"People choose their residential area for all sorts of reasons, it depends what is most important to you.",NOT
"Northeast is the oldest residential area, and is closest to the brand new dining hall opening in Fall 2020.",NOT
The dorms are beautiful and conveniently located to the campus center and many classes.,NOT
"However, stereotypes include that many STEM majors live there and that it is not as social as other areas.",NOT
